FIPS,INCOME_SUM,Winner_n,Winner,Value,Final,Final_pos
48043,11661,Romney,0,-1,-11661,15915838
48045,2493,Romney,0,-1,-2493,15925006
48047,9703,Obama,1,1,9703,15937202
48049,63118,Romney,0,-1,-63118,15864381
48051,42070,Romney,0,-1,-42070,15885429
48053,424523,Romney,0,-1,-424523,15502976
48055,336156,Romney,0,-1,-336156,15591343
48057,58790,Romney,0,-1,-58790,15868709
48059,145461,Romney,0,-1,-145461,15782038
48061,454003,Obama,1,1,454003,16381502
48063,24239,Romney,0,-1,-24239,15903260
48065,15380,Romney,0,-1,-15380,15912119
48067,92538,Romney,0,-1,-92538,15834961
48069,48486,Romney,0,-1,-48486,15879013
48071,322597,Romney,0,-1,-322597,15604902
48073,124783,Romney,0,-1,-124783,15802716
48075,8776,Romney,0,-1,-8776,15918723
48077,87279,Romney,0,-1,-87279,15840220
48079,4648,Romney,0,-1,-4648,15922851
48081,12087,Romney,0,-1,-12087,15915412
48083,20110,Romney,0,-1,-20110,15907389
48085,6983503,Romney,0,-1,-6983503,8943996
48087,8344,Romney,0,-1,-8344,15919155
48089,136436,Romney,0,-1,-136436,15791063
48091,1455106,Romney,0,-1,-1455106,14472393
48093,30826,Romney,0,-1,-30826,15896673
48095,3556,Romney,0,-1,-3556,15923943
48097,274905,Romney,0,-1,-274905,15652594
48099,237833,Romney,0,-1,-237833,15689666
48101,1827,Romney,0,-1,-1827,15925672
48103,12427,Romney,0,-1,-12427,15915072
48105,13389,Romney,0,-1,-13389,15914110
48107,19410,Romney,0,-1,-19410,15908089
48111,32414,Romney,0,-1,-32414,15895085
48113,12941030,Obama,1,1,12941030,28868529
48115,37944,Romney,0,-1,-37944,15889555
48117,30985,Romney,0,-1,-30985,15896514
48119,16516,Romney,0,-1,-16516,15910983
48121,6498094,Romney,0,-1,-6498094,9429405
48123,170177,Romney,0,-1,-170177,15757322
48125,2778,Romney,0,-1,-2778,15924721
48127,33601,Obama,1,1,33601,15961100
48129,6048,Romney,0,-1,-6048,15921451
48131,19783,Obama,1,1,19783,15947282
48133,49883,Romney,0,-1,-49883,15877616
48135,945910,Romney,0,-1,-945910,14981589
48137,2564,Romney,0,-1,-2564,15924935
48139,858541,Romney,0,-1,-858541,15068958
48141,1224709,Obama,1,1,1224709,17152208
48143,101164,Romney,0,-1,-101164,15826335
48145,84130,Romney,0,-1,-84130,15843369
48147,72182,Romney,0,-1,-72182,15855317
48149,204054,Romney,0,-1,-204054,15723445
48151,51712,Romney,0,-1,-51712,15875787
48153,10431,Romney,0,-1,-10431,15917068
48155,1783,Romney,0,-1,-1783,15925716
48157,5167903,Romney,0,-1,-5167903,10759596
48159,35941,Romney,0,-1,-35941,15891558
48161,58523,Romney,0,-1,-58523,15868976
48163,55326,Obama,1,1,55326,15982825
48165,38712,Romney,0,-1,-38712,15888787
48167,1705722,Romney,0,-1,-1705722,14221777
48169,23406,Romney,0,-1,-23406,15904093
48171,256659,Romney,0,-1,-256659,15670840
48173,94919,Romney,0,-1,-94919,15832580
48175,71488,Romney,0,-1,-71488,15856011
48177,181576,Romney,0,-1,-181576,15745923
48179,58632,Romney,0,-1,-58632,15868867
48181,369621,Romney,0,-1,-369621,15557878
48183,439752,Romney,0,-1,-439752,15487747
48185,346641,Romney,0,-1,-346641,15580858
